"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","list-view-header","he-lazy-image src 2"
"https://www.hepsiemlak.com/mugla-bodrum-yalikavak-kiralik/daire/142851-28","13","1","29-03-2024","Kiralık Daire","2 +
                        1","115 m²","15
                      Yaşında","Ara Kat","Bodrum, Yalıkavak Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/altinoluk-bm-gayrimenkul-142851","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/8/6/5/1/4/2/4/c3139efb-cd3e-468a-ae74-af5e99c183b5.jpg","Bodrum Yalıkavak Da Kiralık 2+1 Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/1/5/8/2/4/1/6d3c9022-daec-47d6-860b-eb029490f4dd.jpg"
"https://www.hepsiemlak.com/mugla-fethiye-ciftlik-kiralik/villa/118660-19","13","28.500","08-04-2024","Kiralık Villa","2 +
                        1","145 m²","20
                      Yaşında","","Fethiye, Çiftlik Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/0/9/7/3/3/2/4/6e04b036-3010-4f2a-ac1d-48ea9b2ae45d.jpg","Telmessos Sitesinde Denize Yakın Mesafede Havuzlu 2+1 Bitişik Nizam Villa",""
"https://www.hepsiemlak.com/mugla-mentese-dugerek-kiralik/daire/139386-83","22","7.500","14-04-2024","Kiralık Daire","1 +
                        1","55 m²","1
                      Yaşında","Yarı Bodrum","Menteşe, Düğerek Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/yildiz-emlak-139386","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/1/8/3/6/6/1/4/2d0a6dd9-212e-4137-9dfd-5d4e1f0b16b0.jpg","Düğerek Kiralık Daire 1+1 ( Doğalgaz+su+elektrik Dahil)","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/8/3/9/3/1/155f3c54-6f72-4d78-b46c-9f4f9abbd367.jpg"
"https://www.hepsiemlak.com/mugla-ortaca-karaburun-kiralik/daire/98640-1077","12","12.500","16-04-2024","Kiralık Daire","1 +
                        1","68 m²","Sıfır Bina","2. Kat","Ortaca, Karaburun Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/gunaydin-gayrimenkul-98640","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/4/9/1/9/4/2/4/1713215730-225307-42491943.jpeg","Muğla Ortaca Karaburun Da Sıfır Lüks 1+1 Kiralık Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/0/4/6/8/9/0/72931a8a-7421-46f7-8aad-944ccd7e8c58.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-yahsi-kiralik/daire/66325-3139","16","100.000","12-04-2024","Kiralık Daire","2 +
                        1","250 m²","15
                      Yaşında","Bahçe Katı","Bodrum, Yahşi Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/minev-gayrimenkul-66325","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/1/9/2/8/4/2/4/1712914023-93137-42482912.jpeg","Yahşi Sahilde Denize Sıfır Sezon Da Kiralık Bahçe Katı","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/2/3/6/6/0/c7ef2c8a-f581-4834-a8e8-7944a8bb30e2.jpg"
"https://www.hepsiemlak.com/mugla-marmaris-armutalan-kiralik/villa/104232-1600","29","45.000","03-04-2024","Kiralık Villa","4 +
                        1","250 m²","21
                      Yaşında","Tripleks","Marmaris, Armutalan Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/vefa-gayrimenkul-104232","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/2/3/2/4/0/1/6d1c6ac9-f9be-4263-ba53-c14390247214.jpg","Marmaris Camiavlu'nda, Müstakil Bahçeli, 4+1 Villa",""
"https://www.hepsiemlak.com/mugla-bodrum-dirmil-kiralik/villa/84006-29","29","550.000","01-04-2024","Kiralık Villa","7 +
                        2","550 m²","2
                      Yaşında","","Bodrum, Dirmil Mahallesi","","","Yaz Sezonu Denize Sıfır Site 7+2 Özel Havuzlu Müstakil Villa",""
"https://www.hepsiemlak.com/mugla-koycegiz-toparlar-kiralik/daire/82884-1326","15","12.000","15-04-2024","Kiralık Daire","3 +
                        1","151 m²","11
                      Yaşında","Ara Kat","Köyceğiz, Toparlar Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/elit-emlak-82884","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/8/8/2/8/0/b0b1033e-def7-4834-b768-b78c05536ebb.jpg","Köyceğiz/toparlar Mah. 3+1 Kiralık Ev",""
"https://www.hepsiemlak.com/mugla-bodrum-gundogan-kiralik/villa/5632-8663","28","170.000","02-04-2024","Kiralık Villa","4 +
                        1","150 m²","12
                      Yaşında","","Bodrum, Gündoğan Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/5/9/9/4/4/2/4/1712081368-517356-42449955.jpeg","Gündoğan Firuze Taşevlerde Müstakil Kiralık Villa",""
"https://www.hepsiemlak.com/mugla-koycegiz-gelisim-kiralik/daire/142544-27","12","20.000","01-04-2024","Kiralık Daire","3 +
                        1","130 m²","1
                      Yaşında","Ara Kat","Köyceğiz, Gelişim Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/ozcelik-yapiinsaat-142544/senem-ozcelik-4031473","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/4/0/3/8/2/2/4/1709200803066-42283049.jpg","Özçelik Yapı & İnşaat Gayrimenkul'den Kiralık 3+1 Çatı Dublex","https://hecdnnw.hemlak.com/mncropresize/68/68/firmuser/3/7/4/1/3/0/4/8acc6e81-a36d-449b-8bcd-50369f74cb61.jpg"
"https://www.hepsiemlak.com/mugla-ula-gokce-kiralik/villa/142863-3","12","26.000","18-03-2024","Kiralık Villa","3 +
                        1","125 m²","15
                      Yaşında","","Ula, Gökçe Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/hasan-sakar-gayrimenkul-142863","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/9/8/0/8/2/2/4/5e25cbf4-f5a4-4112-984e-eed167d6f22b.jpg","Gökçe'de Kiralık 3+1 Full Eşyalı Müstakil İkiz Villa","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/3/6/8/2/4/1/b5564e53-844a-4307-8a26-5e6b3fcaf4c6.jpg"
"https://www.hepsiemlak.com/mugla-ula-akyaka-kiralik/daire/49859-2549","28","360.000","31-03-2024","Kiralık Daire","3 +
                        1","90 m²","4
                      Yaşında","En Üst Kat","Ula, Akyaka Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/8/2/8/5/8/3/53e36782-bcf4-481e-8dec-1b512fbc1c93.jpg","Akyaka' Da Yıllık Kiralık 2+1 Eşyalı Daire",""
"https://www.hepsiemlak.com/mugla-bodrum-turkbuku-kiralik/yazlik/99733-193","28","450.000","15-04-2024","Kiralık Yazlık","2 +
                        1","110 m²","8
                      Yaşında","1. Kat","Bodrum, Türkbükü Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/7/1/8/7/6/7/3/3/4cfc53da-dfd2-4ef9-965d-f759b92354ed.jpg","Bodrum Türkbükü Migros Jet’in Yanında Denize 2 Dakika Yürüme Mesafesinde Senelik 450.000tl.",""
"https://www.hepsiemlak.com/mugla-marmaris-tepe-kiralik/daire/138476-160","35","25.000","09-04-2024","Kiralık Daire","2 +
                        1","90 m²","20
                      Yaşında","Ara Kat","Marmaris, Tepe Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/emlak-sepeti-48-138476","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/3/4/7/7/4/2/4/d2357139-704f-46fe-8bc2-1c03a11cedd7.jpg","Marmaris Tepe Mahallesinde Eşyalı 2+1 Kiralık Daire 25.000₺","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/7/4/8/3/1/407d6c60-a603-42b1-bf30-303804482de6.jpg"
"https://www.hepsiemlak.com/mugla-fethiye-ciftlik-kiralik/villa/142630-41","18","43.000","09-04-2024","Kiralık Villa","3 +
                        1","170 m²","4
                      Yaşında","Bahçe Katı","Fethiye, Çiftlik Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/9/8/6/7/4/2/4/b74abef2-856b-48d7-a0c9-a690ed0d9430.jpeg","Mykonut'tan Koca Çalış Mevkiinde 4+1 Kiralık Lüks Villa",""
"https://www.hepsiemlak.com/mugla-bodrum-gundogan-kiralik/villa/57218-192","32","250.000","08-04-2024","Kiralık Villa","4 +
                        1","300 m²","5
                      Yaşında","Bahçe Katı","Bodrum, Gündoğan Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/alinda-emlak-57218/mehmet-albayrak-1060696","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/6/0/3/7/4/2/4/0d7af2c1-db1d-46fa-9955-44746df7df05.jpeg","Gündoğan'da Panoramik Deniz Manzaralı Havuzlu Müstakil Villa","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg"
"https://www.hepsiemlak.com/mugla-koycegiz-gulpinar-kiralik/mustakil-ev/139127-111","15","20.000","10-04-2024","Kiralık Müstakil Ev","4 +
                        1","200 m²","20
                      Yaşında","","Köyceğiz, Gülpınar Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/gulen-emlak-139127","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/9/6/1/6/4/2/4/1712303372842-42461699.jpg","Köyceğiz Çarşı Merkezde Kiralık Müstakil 4+1 Geniş Ferah Konut","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/2/1/9/3/1/39a67f0b-65d0-4f97-a009-85135aaa44c2.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-gundogan-kiralik/residence/56203-4554","35","485.000","08-04-2024","Kiralık Residence","3 +
                        1","172 m²","1
                      Yaşında","2. Kat","Bodrum, Gündoğan Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/yalihan-gayrimenkul-56203/ayhan-kucuk-1045775","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/3/0/6/4/2/4/526d91bb-b08e-478f-ad7e-4bfa53199eaf.jpg","Bodrum Gündoğan Deniz Manzaralı Özel Plajlı 3+2 Kiralık Lüks Rezidans","https://hecdnnw.hemlak.com/mncropresize/68/68/firmuser/5/7/7/5/4/0/1/4d8c75eb-b0b7-4e24-a702-438e26fd489a.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-akyarlar-kiralik/villa/136941-212","15","350.000","03-04-2024","Kiralık Villa","2 +
                        1","120 m²","15
                      Yaşında","","Bodrum, Akyarlar Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/turyap-yalikavak-136941","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/8/0/2/5/4/2/4/c9cbfba7-361d-4524-8da9-ec59f34a07db.jpg","Akyarlar'da Kiralık Dbleks Villa","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/1/4/9/6/3/1/4a151971-ef03-4e7d-bd0e-511f044c68eb.jpg"
"https://www.hepsiemlak.com/mugla-mentese-karamehmet-kiralik/daire/7027-1143","36","15.000","04-04-2024","Kiralık Daire","2 +
                        1","110 m²","8
                      Yaşında","En Üst Kat","Menteşe, Karamehmet Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/tunc-emlak-7027","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/7/1/3/5/4/2/4/f959fbcb-e5c0-44b3-b2f6-c05331a6030f.jpg","Karamehmet Mah. Kiralık 2+1 Doğalgazlı Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/2/0/7/0/0/78be80a5-8d5c-460a-a731-995bf16ef75e.jpg"
"https://www.hepsiemlak.com/mugla-dalaman-karacali-kiralik/daire/130154-360","31","16.000","05-04-2024","Kiralık Daire","3 +
                        1","125 m²","2
                      Yaşında","2. Kat","Dalaman, Karaçalı Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/cittaslow-gayrimenkul-130154","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/4/5/9/4/4/2/4/a83738d0-2cb2-4128-ba98-02c655ba535e.jpeg","Cittaslow'dan Karaçalı'da Cadde Üzeri 3+1 Kiralık Dubleks Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/5/1/0/3/1/28728e14-6b18-44b3-9382-216c71840b1c.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-gundogan-kiralik/villa/141026-8","19","150.000","29-03-2024","Kiralık Villa","3 +
                        1","200 m²","5
                      Yaşında","","Bodrum, Gündoğan Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/7/7/2/3/4/2/4/1711721717-815277-42432770.jpeg","Gündoğan’da Denize Yürüme Mesafesinde Kiralık Villa",""
"https://www.hepsiemlak.com/mugla-bodrum-turkbuku-kiralik/villa/140202-193","37","285.000","01-04-2024","Kiralık Villa","3 +
                        1","174 m²","6
                      Yaşında","","Bodrum, Türkbükü Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/century21-begonvill-gayrimenkul-140202","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/4/1/2/4/2/4/24a5751f-027b-442e-8703-73b754df0598.jpg","Bodrum Türkbükü Deniz Manzaralı Kiralık Dubleks","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/2/0/2/0/4/1/8d551aa9-c36f-461b-82f1-9ea4c17571a5.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-carsi-kiralik/daire/133078-205","27","35.000","30-03-2024","Kiralık Daire","2 +
                        1","90 m²","9
                      Yaşında","2. Kat","Bodrum, Çarşı Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/funda-gayrimenkul-133078/sultan-funda-oruc-3524415","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/3/1/0/1/4/2/4/1711364797312-42410132.jpg","Bitez Yalısın Da Senelik Kiralık Daire.","https://hecdnnw.hemlak.com/mncropresize/68/68/firmuser/5/1/4/4/2/5/3/92d6faff-d401-484b-9d50-29e6beb95a52.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-dirmil-kiralik/villa/130737-132","31","250.000","10-04-2024","Kiralık Villa","3 +
                        1","1.000 m²","5
                      Yaşında","Bahçe Katı","Bodrum, Dirmil Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/bodrum-premium-emlak-130737","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/4/7/7/0/4/2/4/2a2d50f3-4fa8-437d-86ff-ba253ed5ff64.jpeg","Bodrum Yalıkavak'ta Full Deniz Manzaralı Havuzlu Kiralık Villa","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/3/7/0/3/1/ec1a9d33-c21a-4705-a612-4e75f41d0704.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-umurca-kiralik/mustakil-ev/65421-1256","36","100.000","15-04-2024","Kiralık Müstakil Ev","4 +
                        1","180 m²","25
                      Yaşında","","Bodrum, Umurca Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/bodrum-kule-emlak-65421","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/4/4/5/0/4/2/4/1711274513-7759562-42405444.jpeg","İster Sezonluk İster Yıllık Kumbahçe Eşyalı Ortak Havuzlu Site İçi Müstakil 4+1","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/1/2/4/5/6/0/3f934c6d-ed05-4828-92d4-6515f1a8c557.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-turkbuku-kiralik/villa/140073-200","30","25.000","15-04-2024","Kiralık Villa","2 +
                        1","110 m²","16
                      Yaşında","","Bodrum, Türkbükü Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-elit-bodrumgayrimenkul-140073","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/0/5/7/8/3/2/4/b57d97db-0163-4124-994d-d72b551dcb32.jpg","Özel Plajlı, Havuzlu Site Sankop'ta,Deniz Manzaralı Yazlık Villa","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/3/7/0/0/4/1/b2bd7933-5065-4976-acbe-d59343823637.jpg"
"https://www.hepsiemlak.com/mugla-fethiye-ciftlik-kiralik/villa/144026-15","20","60.000","04-04-2024","Kiralık Villa","2 +
                        1","120 m²","21
                      Yaşında","","Fethiye, Çiftlik Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/kaya-grup-fethiye-144026","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/1/8/7/7/3/2/4/ddae072f-061c-4603-9178-c8b2dc022156.jpeg","Telmesos Sitesinde Denize Yakın Havuzlu2 + 1 Bitişik Nizam Villa","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/2/0/4/4/1/fc195281-0e7e-48c7-acb4-b655478f543c.jpg"
"https://www.hepsiemlak.com/mugla-ula-akyaka-kiralik/daire/121672-161","41","20.000","19-03-2024","Kiralık Daire","2 +
                        1","90 m²","10
                      Yaşında","2. Kat","Ula, Akyaka Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/nese-emlak-121672","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/7/9/6/7/3/2/4/1710796809330-42376977.jpg","Neşeden Akyakada Eşyalı, Bakımlı, Yıllıkkiralık Çatı Dublex","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/2/7/6/1/2/1/9c302770-f564-496d-a834-73b49064a658.jpg"
"https://www.hepsiemlak.com/mugla-koycegiz-beyobasi-kiralik/villa/138924-231","52","35.000","18-03-2024","Kiralık Villa","3 +
                        1","150 m²","Sıfır Bina","Bahçe Katı","Köyceğiz, Beyobası Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/tuana-emlak-gayrimenkul-138924","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/2/9/8/3/1/cf591ef9-5704-4f4c-8f87-77b983c83d0c.jpg","Tuana Emlak'tan Beyobasında 3+1 Müstakil Villa",""
"https://www.hepsiemlak.com/mugla-milas-gulluk-kiralik/villa/87327-1193","37","250.000","08-04-2024","Kiralık Villa","4 +
                        2","400 m²","5
                      Yaşında","","Milas, Güllük Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/aj-mimarlik-gayrimenkul-87327/aj-yapi-jasmin-turk-1722478","https://hecdnnw.hemlak.com/mncropresize/68/68/firmuser/8/7/4/2/2/7/1/0ddcae31-6a45-40ea-9e93-01e2d1ae3fb3.jpg","Bodrum Hava Alanina 10dk Mesafede Güllük Merkezde  Eşsiz Lokasyonda Denize Sıfır Lüxs Malikane","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/2/3/7/8/0/3f270af4-318a-4f33-9521-2bf80a3bf4d2.jpg"
"https://www.hepsiemlak.com/mugla-mentese-emirbeyazit-kiralik/daire/92216-1376","60","28.000","16-04-2024","Kiralık Daire","3 +
                        1","120 m²","13
                      Yaşında","Giriş Katı","Menteşe, Emirbeyazıt Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/yatagan-emlak-92216","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/1/2/2/9/0/ef3bc344-e800-4aae-baed-3877633e73ac.jpg","Muğla Emirbeyazıt Ta Kiralık 3+1 Eşyalı Daire",""
"https://www.hepsiemlak.com/mugla-bodrum-dirmil-kiralik/mustakil-ev/118748-625","43","25.500","25-03-2024","Kiralık Müstakil Ev","2 +
                        1","115 m²","10
                      Yaşında","","Bodrum, Dirmil Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/1/5/1/2/2/4/1711118906-387603-42215166.jpeg","Bodrum Yalıkavak Dirmil Kiralık Eşyasız Bahçeli 2+1 Dubleks",""
"https://www.hepsiemlak.com/mugla-bodrum-bitez-kiralik/daire/136075-205","16","45.000","05-04-2024","Kiralık Daire","3 +
                        1","130 m²","4
                      Yaşında","Bahçe Katı","Bodrum, Bitez Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/iron-gayrimenkul-danismanligi-136075","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/3/8/4/6/9/1/4/1703619427-861583-41964835.jpeg","Bodrum Bitez Eşyalı Kiralık 3+1 Bahçe Katı Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/7/0/6/3/1/74c2fffd-31da-4d49-b55c-239b38ed5acf.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-dirmil-kiralik/villa/72817-733","41","175.000","08-04-2024","Kiralık Villa","3 +
                        1","250 m²","10
                      Yaşında","","Bodrum, Dirmil Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/7/9/9/1/5/9/3/2ed3660b-ae5c-424d-ad5a-d6dac2fe0f9a.jpg","Bodrum Yalıkavak Plajlı,Havuzlu Sitede 3+1, 160 M2, Deniz Manzaralı,Bahçeli Kiralık Dubleks",""
"https://www.hepsiemlak.com/mugla-koycegiz-yangi-kiralik/mustakil-ev/63057-673","27","15.000","15-04-2024","Kiralık Müstakil Ev","2 +
                        1","75 m²","Sıfır Bina","","Köyceğiz, Yangı Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/hakan-s-emlak-63057","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/7/7/4/7/4/2/4/143022b4-1df5-4814-bdd2-f75ca955ae5f.jpg","Köyceğiz Yangı'da Kiralık Müstakil Ev","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/5/0/3/6/0/6d4b9d6e-01a7-4710-a29a-52ac4299df68.jpg"
"https://www.hepsiemlak.com/mugla-marmaris-icmeler-kiralik/daire/31091-1721","27","17.000","15-04-2024","Kiralık Daire","2 +
                        1","90 m²","15
                      Yaşında","Bahçe Katı","Marmaris, İçmeler Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/1/9/9/4/4/2/4/dc02e97c-83b4-4214-a2c5-821aa2cadf39.jpg","Marmaris İçmeler'de,  Boş, 2+1 Düz Daire",""
"https://www.hepsiemlak.com/mugla-dalaman-serefler-kiralik/daire/110011-610","27","15.000","12-04-2024","Kiralık Daire","3 +
                        1","110 m²","5
                      Yaşında","2. Kat","Dalaman, Şerefler Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/syakut-emlak-danismanligi-110011","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/0/6/2/2/9/1/4/ed4c0d74-6725-42b2-b6ec-3563989bd06f.jpeg","Dalaman 3+1 Dublex . Roza Sitesi","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/1/1/0/0/1/1/aab933e3-21d1-4b73-9540-f2afb6abfcb2.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-peksimet-kiralik/mustakil-ev/19492-2359","27","45.000","30-03-2024","Kiralık Müstakil Ev","2 +
                        1","110 m²","5
                      Yaşında","","Bodrum, Peksimet Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/tayman-emlak-danismanlik-19492","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/9/9/6/2/0/4/bd451d81-7c89-4b72-8121-ea8ac5fb9ddf.jpeg","Tayman'dan Deniz Manzaralı Bahçeli Havuzlu Müstakil Dubleks","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/2/9/4/9/1/0/f12e1e86-6196-4e8b-89c6-52d4cccba35e.jpg"
"https://www.hepsiemlak.com/mugla-datca-datca-kiralik/villa/94659-404","23","40.000","18-03-2024","Kiralık Villa","2 +
                        1","140 m²","7
                      Yaşında","","Datça, Datça Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-oksijen-94659","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/5/5/2/7/3/2/4/1710746617003-42372552.jpg","Eski Datça'da Yıllık Kiralık Tam Müstakil Villa...","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/9/5/6/4/9/0/5573a0d3-1a0f-463f-a75c-34e0394b13ef.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-karabag-kiralik/villa/6449-1837","26","30.000","06-04-2024","Kiralık Villa","3 +
                        1","140 m²","16
                      Yaşında","Bahçe Katı","Bodrum, Karabağ Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/3/5/9/6/4/2/4/040b4aa1-1d2e-44a6-ae50-57bf8de9436b.jpeg","S-A-K-A-L-L-I-Dan Turgutreiste Eşyalı Kiralık Dubleks",""
"https://www.hepsiemlak.com/mugla-dalaman-karacali-kiralik/daire/142729-18","32","13.500","16-04-2024","Kiralık Daire","3 +
                        1","140 m²","21
                      Yaşında","3. Kat","Dalaman, Karaçalı Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/basak-gayrimenkul-142729","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/3/4/5/3/3/2/4/15da39d5-b104-4040-8e08-450b40e43892.jpeg","Başak'tan Ara Kat Çift Balkon","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/9/2/7/2/4/1/b2ec80ae-5985-42d1-9349-38970a59d40d.jpg"
"https://www.hepsiemlak.com/mugla-dalaman-merkez-kiralik/daire/0-42483846","11","11.000","13-04-2024","Kiralık Daire","2 +
                        1","150 m²","12
                      Yaşında","2. Kat","Dalaman, Merkez Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/4/8/3/8/4/2/4/Ajh5jzehEIEidYxoxDfhV.jpeg","Şehir Merkezine Yakın Sahibinden Eşyalı Kiralık Daire",""
"https://www.hepsiemlak.com/mugla-datca-yaka-kiralik/villa/0-42455347","11","450.000","04-04-2024","Kiralık Villa","3 +
                        1","275 m²","4
                      Yaşında","","Datça, Yaka Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/3/5/5/4/2/4/1712169936165-42455347.jpg","Datça Palamutbükü 160 M2 3 +1 Teraslı Ve Full Eşyalı Kiralık Villa",""
"https://www.hepsiemlak.com/mugla-fethiye-kayakoy-kiralik/villa/141571-73","11","59.500","12-04-2024","Kiralık Villa","2 +
                        1","120 m²","3
                      Yaşında","","Fethiye, Kayaköy Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/cadianda-group-141571","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/7/4/7/3/4/2/4/d1233d64-30fd-4644-a8de-4c589bac90ae.jpeg","Fethiye Kayaköyde Müstakil Bahçeli Eşyalı Havuzlu Kiralık Villa","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/1/7/5/1/4/1/296796b3-20c4-47dc-b07c-f2513f73ec49.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-bitez-kiralik/daire/122999-671","33","85.000","06-04-2024","Kiralık Daire","2 +
                        1","120 m²","4
                      Yaşında","2. Kat","Bodrum, Bitez Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/4/6/9/6/4/2/4/c9b2c64f-a2c2-4ac0-846b-87c9ce21e105.jpeg","Bitezde 110m2 Şık Dekorasyonlu Full Deniz Manzaralı Bahçeli",""
"https://www.hepsiemlak.com/mugla-milas-bogazici-kiralik/mustakil-ev/106277-1868","25","25.000","29-03-2024","Kiralık Müstakil Ev","4 +
                        1","130 m²","15
                      Yaşında","","Milas, Boğaziçi Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/royal-emlak-106277","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/3/6/3/7/3/2/4/cb980f01-114b-4973-aaae-1dfcc02ffc4a.jpg","Muğla Milas Boğaziçi Gümüşkum Deniz Manzaralı Ev","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/7/2/6/0/1/a387d338-775d-4686-bca5-c0408f07acc6.jpg"
